,TOTAL,CASH,AUM
2022/08/01,100000.0,100000.0,0.0
2022/08/02,100112.41,100112.41,0.0
2022/08/03,100112.41,100112.41,0.0
2022/08/04,100112.41,100112.41,0.0
2022/08/05,100112.41,100112.41,0.0
2022/08/08,100112.41,100112.41,0.0
2022/08/09,100112.41,100112.41,0.0
2022/08/10,100112.41,100112.41,0.0
2022/08/11,100112.41,100112.41,0.0
2022/08/12,100112.41,100112.41,0.0
2022/08/15,100112.41,100112.41,0.0
2022/08/16,100112.41,100112.41,0.0
2022/08/17,100112.41,100112.41,0.0
2022/08/18,100112.41,100112.41,0.0
2022/08/19,100112.41,100112.41,0.0
2022/08/22,100112.41,100112.41,0.0
2022/08/23,100112.41,100112.41,0.0
2022/08/24,100112.41,100112.41,0.0
2022/08/25,100112.41,100112.41,0.0
2022/08/26,100112.41,100112.41,0.0
2022/08/29,100112.41,100112.41,0.0
2022/08/30,100112.41,100112.41,0.0
2022/08/31,100112.41,100112.41,0.0
2022/09/01,100112.41,100112.41,0.0
2022/09/02,100265.56,100265.56,0.0
2022/09/06,100265.56,100265.56,0.0
2022/09/07,100265.56,100265.56,0.0
2022/09/08,100265.56,100265.56,0.0
2022/09/09,100265.56,100265.56,0.0
2022/09/12,100265.56,100265.56,0.0
2022/09/13,100265.56,100265.56,0.0
2022/09/14,100265.56,100265.56,0.0
2022/09/15,100265.56,100265.56,0.0
2022/09/16,100265.56,100265.56,0.0
2022/09/19,100265.56,100265.56,0.0
2022/09/20,100265.56,100265.56,0.0
2022/09/21,100265.56,100265.56,0.0
2022/09/22,100265.56,100265.56,0.0
2022/09/23,100265.56,100265.56,0.0
2022/09/26,100265.56,100265.56,0.0
2022/09/27,100265.56,100265.56,0.0
2022/09/28,100265.56,100265.56,0.0
2022/09/29,100265.56,100265.56,0.0
2022/09/30,100265.56,100265.56,0.0
2022/10/03,100265.56,100265.56,0.0
2022/10/04,100450.95,100450.95,0.0
2022/10/05,100450.95,100450.95,0.0
2022/10/06,100450.95,100450.95,0.0
2022/10/07,100450.95,100450.95,0.0
2022/10/10,100450.95,100450.95,0.0
2022/10/11,99829.7,90334.19,9495.509078979492
2022/10/12,99785.98,90334.19,9451.78500366211
2022/10/13,100103.68,90334.19,9769.485488891602
2022/10/14,99788.71,90334.19,9454.517166137695
2022/10/17,100064.05,90334.19,9729.859130859375
2022/10/18,100155.6,90334.19,9821.411315917969
2022/10/19,100163.12,90334.19,9828.927658081055
2022/10/20,100131.0,90334.19,9796.814483642578
2022/10/21,100396.1,90334.19,10061.908996582031
2022/10/24,100545.04,90334.19,10210.850280761719
2022/10/25,100742.5,90334.19,10408.305084228516
2022/10/26,100538.21,90334.19,10204.019348144531
2022/10/27,100227.34,90334.19,9893.149795532227
2022/10/28,100974.79,90334.19,10640.602066040039
2022/10/31,100810.82,90334.19,10476.627044677734
2022/11/01,100627.03,90334.19,10292.839370727539
2022/11/02,100101.24,78613.98000000001,21487.264389038086
2022/11/03,99456.66,78613.98000000001,20842.679443359375
2022/11/04,99582.98,78613.98000000001,20969.00161743164
2022/11/07,99728.74,78613.98000000001,21114.75587463379
2022/11/08,99865.23,78613.98000000001,21251.24998474121
2022/11/09,99389.97,78613.98000000001,20775.990020751953
2022/11/10,100809.07,78629.85,22179.22299194336
2022/11/11,101263.55,78629.85,22633.69760131836
2022/11/14,101133.97,78629.85,22504.12010192871
2022/11/15,101297.22,78629.85,22667.366119384766
2022/11/16,101162.87,78629.85,22533.021484375
2022/11/17,101242.16,78629.85,22612.306243896484
2022/11/18,101413.96,78629.85,22784.112762451172
2022/11/21,101207.09,78629.85,22577.24070739746
2022/11/22,101538.0,78629.85,22908.149169921875
2022/11/23,101615.71,78629.85,22985.856231689453
2022/11/25,101463.13,78629.85,22833.284545898438
2022/11/28,101030.52,78629.85,22400.66859436035
2022/11/29,100896.19,78629.85,22266.338333129883
2022/11/30,101504.46,78629.85,22874.611282348633
2022/12/01,101413.22,78629.85,22783.371826171875
2022/12/02,101612.64,78851.09000000001,22761.55389404297
2022/12/05,101308.69,78851.09000000001,22457.60139465332
2022/12/06,100942.51,78851.09000000001,22091.417205810547
2022/12/07,100729.29,78851.09000000001,21878.199279785156
2022/12/08,100853.11,78851.09000000001,22002.02359008789
2022/12/09,100835.58,78851.09000000001,21984.492141723633
2022/12/12,101197.44,78851.09000000001,22346.34715270996
2022/12/13,101299.7,78851.09000000001,22448.613082885742
2022/12/14,101023.44,78851.09000000001,22172.34829711914
2022/12/15,100269.03,78851.09000000001,21417.941604614258
2022/12/16,100056.44,78851.09000000001,21205.353424072266
2022/12/19,99911.19,78851.09000000001,21060.099990844727
2022/12/20,99985.2,78851.09000000001,21134.10954284668
2022/12/21,100433.57,78851.09000000001,21582.482192993164
2022/12/22,100008.01,78851.09000000001,21156.918090820312
2022/12/23,100134.69,78851.09000000001,21283.598510742188
2022/12/27,99971.85,78851.09000000001,21120.759033203125
2022/12/28,99613.99,78851.09000000001,20762.898803710938
2022/12/29,100083.5,78851.09000000001,21232.414337158203
2022/12/30,100099.0,78851.09000000001,21247.914657592773
2023/01/03,99806.81,78851.09000000001,20955.715591430664
2023/01/04,100333.45,79103.85,21229.596969604492
2023/01/05,100175.74,79103.85,21071.8934173584
2023/01/06,100722.15,79103.85,21618.2999420166
2023/01/09,100632.02,79103.85,21528.171752929688
2023/01/10,100704.51,79103.85,21600.663681030273
2023/01/11,101054.2,79103.85,21950.348846435547
2023/01/12,100991.12,79103.85,21887.272842407227
2023/01/13,101031.91,79103.85,21928.06187438965
2023/01/17,101001.47,79103.85,21897.616897583008
2023/01/18,100689.11,79103.85,21585.257904052734
2023/01/19,100570.41,79103.85,21466.564971923828
2023/01/20,100933.95,79103.85,21830.09812927246
2023/01/23,101177.68,79103.85,22073.833587646484
2023/01/24,101310.06,79103.85,22206.211212158203
2023/01/25,101288.21,79103.85,22184.358505249023
2023/01/26,101393.93,79103.85,22290.07730102539
2023/01/27,101457.55,79103.85,22353.69561767578
2023/01/30,101183.43,79103.85,22079.575927734375
2023/01/31,101439.31,79103.85,22335.458038330078
2023/02/01,101479.33,79103.85,22375.47543334961
2023/02/02,102173.08,79377.13,22795.94807434082
2023/02/03,102290.92,79377.13,22913.793365478516
2023/02/06,101182.34,74341.59000000001,26840.748933792114
2023/02/07,101586.16,74341.59000000001,27244.573645591736
2023/02/08,101345.12,74341.59000000001,27003.525234222412
2023/02/09,101182.16,74341.59000000001,26840.56514930725
2023/02/10,101332.63,74341.59000000001,26991.03772163391
2023/02/13,101726.06,74341.59000000001,27384.473775863647
2023/02/14,101554.56,74341.59000000001,27212.966089248657
2023/02/15,101663.1,74341.59000000001,27321.51392173767
2023/02/16,101487.55,74357.46,27130.08567428589
2023/02/17,101405.96,74357.46,27048.501249313354
2023/02/21,100744.99,74357.46,26387.534149169922
2023/02/22,100823.41,74357.46,26465.95191001892
2023/02/23,100862.35,74357.46,26504.893118858337
2023/02/24,100675.68,74357.46,26318.219329833984
2023/02/27,100779.73,74357.46,26422.274492263794
2023/02/28,100743.19,74357.46,26385.728801727295
2023/03/01,100549.98,74357.46,26192.52491092682
2023/03/02,100934.71,74607.21,26327.504875183105
2023/03/03,101513.94,74607.21,26906.73454761505
2023/03/06,101895.61,74607.21,27288.404775619507
2023/03/07,101437.12,74607.21,26829.912294387817
2023/03/08,101511.78,74607.21,26904.565539360046
2023/03/09,100945.73,74607.21,26338.522463798523
2023/03/10,100607.11,74607.21,25999.898980140686
2023/03/13,100627.05,74607.21,26019.84383201599
2023/03/14,101004.7,74607.21,26397.48810005188
2023/03/15,95754.32,60203.01000000001,35551.31332933903
2023/03/16,96315.17,60203.01000000001,36112.158205866814
2023/03/17,95366.67,60203.01000000001,35163.659872055054
2023/03/20,98342.17,62748.19000000001,35593.984535217285
2023/03/21,96515.96,60188.19000000001,36327.76688313484
2023/03/22,95605.16,50217.02000000001,45388.13820934296
2023/03/23,95708.49,50217.02000000001,45491.47044587135
