,A ADI,A AJG,AAL APA
2018-06-13,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-06-14,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-06-15,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-06-18,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-06-19,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-06-20,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-06-21,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-06-22,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-06-25,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-06-26,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-06-27,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-06-28,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-06-29,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-07-02,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-07-03,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-07-05,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-07-06,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-07-09,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-07-10,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-07-11,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-07-12,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-07-13,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-07-16,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-07-17,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-07-18,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-07-19,"[['BUY', 'A', 10], ['SELL', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-07-20,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-07-23,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-07-24,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-07-25,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-07-26,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-07-27,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-07-30,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-07-31,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-08-01,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-08-02,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-08-03,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-08-06,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-08-07,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-08-08,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-08-09,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-08-10,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-08-13,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-08-14,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-08-15,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-08-16,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-08-17,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-08-20,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-08-21,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-08-22,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-08-23,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-08-24,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-08-27,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-08-28,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-08-29,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-08-30,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-08-31,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-09-04,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-09-05,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-09-06,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-09-07,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-09-10,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-09-11,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2018-09-12,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
